Q1_real,Q1_predicted,Q2A_real,Q2A_predicted,Q2B_real,Q2B_predicted,Q2C_real,Q2C_predicted,Q2D_real,Q2D_predicted,Q3_real,Q3_predicted,Q4_real,Q4_predicted
1,1,1,1,1,1,1,1,1,1,1,1,4,4
1,1,1,1,1,1,1,1,1,1,4,3,4,4
1,1,1,1,1,1,1,1,1,1,1,1,5,5
0,1,1,1,1,1,0,1,0,1,4,3,4,3
0,1,1,1,1,1,1,1,1,1,1,1,4,5
1,1,1,1,1,1,1,1,1,1,1,1,4,3
1,1,1,1,1,-1,1,1,1,1,1,2,3,2
0,1,-1,1,-1,1,-1,1,-1,1,1,1,1,2
1,1,-1,1,-1,1,1,1,1,1,1,2,1,3
0,0,1,1,1,1,1,1,1,1,1,1,3,2
1,0,1,1,1,1,-1,-1,0,0,1,4,3,2
1,0,1,1,1,1,0,-1,1,0,1,1,4,3
0,1,1,1,1,1,-1,0,1,1,1,1,4,4
0,1,1,1,1,1,-1,-1,-1,1,1,2,1,4
1,1,1,1,1,1,0,-1,1,1,1,1,4,4
